,NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
0,Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil e Grande Região (Código),Brasil e Grande Região,Variável (Código),Variável,Trimestre (Código),Trimestre
1,1,Brasil,1550,Milhões de Reais,357954,1,Brasil,6295,"Massa de rendimento mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido em todos os trabalhos",202503,3º trimestre 2025
2,1,Brasil,2,%,0.9,1,Brasil,6296,"Coeficiente de variação - Massa de rendimento mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido em todos os trabalhos",202503,3º trimestre 2025
3,1,Brasil,2,%,0.8,1,Brasil,9232,"Variação percentual em relação ao trimestre anterior - Massa de rendimento mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido em todos os trabalhos",202503,3º trimestre 2025
4,1,Brasil,1722,Ponto percentual,2740,1,Brasil,9233,"Variação absoluta em relação ao trimestre anterior - Massa de rendimento mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido em todos os trabalhos",202503,3º trimestre 2025
5,1,Brasil,1694,Nenhuma,A,1,Brasil,9236,"Situação da Variação em relação ao trimestre anterior - Massa de rendimento mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido em todos os trabalhos",202503,3º trimestre 2025
6,1,Brasil,2,%,4.9,1,Brasil,9237,"Variação percentual em relação ao mesmo trimestre do ano anterior - Massa de rendimento mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido em todos os trabalhos",202503,3º trimestre 2025
7,1,Brasil,1722,Ponto percentual,16750,1,Brasil,9238,"Variação absoluta em relação ao mesmo trimestre do ano anterior - Massa de rendimento mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido em todos os trabalhos",202503,3º trimestre 2025
8,1,Brasil,1694,Nenhuma,Z,1,Brasil,9241,"Situação da Variação em relação ao mesmo trimestre do ano anterior - Massa de rendimento mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido em todos os trabalhos",202503,3º trimestre 2025
9,1,Brasil,1550,Milhões de Reais,357229,1,Brasil,6291,"Massa de rendimento mensal nominal das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido em todos os trabalhos",202503,3º trimestre 2025
10,1,Brasil,2,%,0.9,1,Brasil,6292,"Coeficiente de variação - Massa de rendimento mensal nominal das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido em todos os trabalhos",202503,3º trimestre 2025
