,NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N
0,Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil (Código),Brasil,Variável (Código),Variável,Trimestre Móvel (Código),Trimestre Móvel,Grupamento de atividade no trabalho principal (Código),Grupamento de atividade no trabalho principal
1,1,Brasil,1572,Mil pessoas,87713,1,Brasil,4090,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,201203,jan-fev-mar 2012,47946,Total
2,1,Brasil,1572,Mil pessoas,10068,1,Brasil,4090,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,201203,jan-fev-mar 2012,47947,"Agricultura, pecuária, produção florestal, pesca e aquicultura"
3,1,Brasil,1572,Mil pessoas,13034,1,Brasil,4090,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,201203,jan-fev-mar 2012,47948,Indústria geral
4,1,Brasil,1572,Mil pessoas,7140,1,Brasil,4090,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,201203,jan-fev-mar 2012,47949,Construção
5,1,Brasil,1572,Mil pessoas,16534,1,Brasil,4090,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,201203,jan-fev-mar 2012,47950,"Comércio, reparação de veículos automotores e motocicletas"
6,1,Brasil,1572,Mil pessoas,4057,1,Brasil,4090,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,201203,jan-fev-mar 2012,56622,"Transporte, armazenagem e correio"
7,1,Brasil,1572,Mil pessoas,3826,1,Brasil,4090,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,201203,jan-fev-mar 2012,56623,Alojamento e alimentação
8,1,Brasil,1572,Mil pessoas,9488,1,Brasil,4090,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,201203,jan-fev-mar 2012,56624,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas"
9,1,Brasil,1572,Mil pessoas,13833,1,Brasil,4090,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,201203,jan-fev-mar 2012,60032,"Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais"
10,1,Brasil,1572,Mil pessoas,3748,1,Brasil,4090,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,201203,jan-fev-mar 2012,56627,Outros serviços
11,1,Brasil,1572,Mil pessoas,5948,1,Brasil,4090,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,201203,jan-fev-mar 2012,56628,Serviços domésticos
12,1,Brasil,1572,Mil pessoas,88535,1,Brasil,4090,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,201204,fev-mar-abr 2012,47946,Total
13,1,Brasil,1572,Mil pessoas,10171,1,Brasil,4090,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,201204,fev-mar-abr 2012,47947,"Agricultura, pecuária, produção florestal, pesca e aquicultura"
14,1,Brasil,1572,Mil pessoas,13246,1,Brasil,4090,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,201204,fev-mar-abr 2012,47948,Indústria geral
15,1,Brasil,1572,Mil pessoas,7242,1,Brasil,4090,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,201204,fev-mar-abr 2012,47949,Construção
16,1,Brasil,1572,Mil pessoas,16601,1,Brasil,4090,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,201204,fev-mar-abr 2012,47950,"Comércio, reparação de veículos automotores e motocicletas"
17,1,Brasil,1572,Mil pessoas,4091,1,Brasil,4090,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,201204,fev-mar-abr 2012,56622,"Transporte, armazenagem e correio"
18,1,Brasil,1572,Mil pessoas,3840,1,Brasil,4090,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,201204,fev-mar-abr 2012,56623,Alojamento e alimentação
19,1,Brasil,1572,Mil pessoas,9547,1,Brasil,4090,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,201204,fev-mar-abr 2012,56624,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas"
20,1,Brasil,1572,Mil pessoas,14075,1,Brasil,4090,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,201204,fev-mar-abr 2012,60032,"Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais"
21,1,Brasil,1572,Mil pessoas,3737,1,Brasil,4090,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,201204,fev-mar-abr 2012,56627,Outros serviços
22,1,Brasil,1572,Mil pessoas,5942,1,Brasil,4090,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,201204,fev-mar-abr 2012,56628,Serviços domésticos
23,1,Brasil,1572,Mil pessoas,89059,1,Brasil,4090,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,201205,mar-abr-mai 2012,47946,Total
24,1,Brasil,1572,Mil pessoas,10276,1,Brasil,4090,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,201205,mar-abr-mai 2012,47947,"Agricultura, pecuária, produção florestal, pesca e aquicultura"
25,1,Brasil,1572,Mil pessoas,13268,1,Brasil,4090,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,201205,mar-abr-mai 2012,47948,Indústria geral
26,1,Brasil,1572,Mil pessoas,7405,1,Brasil,4090,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,201205,mar-abr-mai 2012,47949,Construção
27,1,Brasil,1572,Mil pessoas,16704,1,Brasil,4090,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,201205,mar-abr-mai 2012,47950,"Comércio, reparação de veículos automotores e motocicletas"
28,1,Brasil,1572,Mil pessoas,4123,1,Brasil,4090,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,201205,mar-abr-mai 2012,56622,"Transporte, armazenagem e correio"
29,1,Brasil,1572,Mil pessoas,3857,1,Brasil,4090,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,201205,mar-abr-mai 2012,56623,Alojamento e alimentação
