,NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
0,Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil e Grande Região (Código),Brasil e Grande Região,Variável (Código),Variável,Trimestre (Código),Trimestre
1,1,Brasil,2,%,66.0,1,Brasil,8463,Percentual de pessoas contribuintes de instituto de previdência em qualquer trabalho na população de 14 anos ou mais de idade ocupada na semana de referência,202503,3º trimestre 2025
2,1,Brasil,2,%,0.3,1,Brasil,8464,Coeficiente de variação - Percentual de pessoas contribuintes de instituto de previdência em qualquer trabalho na população de 14 anos ou mais de idade ocupada na semana de referência,202503,3º trimestre 2025
3,1,Brasil,1722,Ponto percentual,0.4,1,Brasil,9352,"Variação em relação ao trimestre anterior - Percentual de pessoas contribuintes de instituto de previdência, na população de 14 anos ou mais de idade, ocupada na semana de referência",202503,3º trimestre 2025
4,1,Brasil,1694,Nenhuma,A,1,Brasil,9122,"Situação da Variação em relação ao trimestre anterior - Percentual de pessoas contribuintes de instituto de previdência, na população de 14 anos ou mais de idade, ocupada na semana de referência",202503,3º trimestre 2025
5,1,Brasil,1722,Ponto percentual,0.9,1,Brasil,9355,"Variação em relação ao mesmo trimestre do ano anterior - Percentual de pessoas contribuintes de instituto de previdência, na população de 14 anos ou mais de idade, ocupada na semana de referência",202503,3º trimestre 2025
6,1,Brasil,1694,Nenhuma,Z,1,Brasil,9123,"Situação da Variação em relação ao mesmo trimestre do ano anterior - Percentual de pessoas contribuintes de instituto de previdência, na população de 14 anos ou mais de idade, ocupada na semana de referência",202503,3º trimestre 2025
7,2,Grande Região,2,%,49.0,1,Norte,8463,Percentual de pessoas contribuintes de instituto de previdência em qualquer trabalho na população de 14 anos ou mais de idade ocupada na semana de referência,202503,3º trimestre 2025
8,2,Grande Região,2,%,1.0,1,Norte,8464,Coeficiente de variação - Percentual de pessoas contribuintes de instituto de previdência em qualquer trabalho na população de 14 anos ou mais de idade ocupada na semana de referência,202503,3º trimestre 2025
9,2,Grande Região,1722,Ponto percentual,0.0,1,Norte,9352,"Variação em relação ao trimestre anterior - Percentual de pessoas contribuintes de instituto de previdência, na população de 14 anos ou mais de idade, ocupada na semana de referência",202503,3º trimestre 2025
10,2,Grande Região,1694,Nenhuma,A,1,Norte,9122,"Situação da Variação em relação ao trimestre anterior - Percentual de pessoas contribuintes de instituto de previdência, na população de 14 anos ou mais de idade, ocupada na semana de referência",202503,3º trimestre 2025
11,2,Grande Região,1722,Ponto percentual,0.6,1,Norte,9355,"Variação em relação ao mesmo trimestre do ano anterior - Percentual de pessoas contribuintes de instituto de previdência, na população de 14 anos ou mais de idade, ocupada na semana de referência",202503,3º trimestre 2025
12,2,Grande Região,1694,Nenhuma,A,1,Norte,9123,"Situação da Variação em relação ao mesmo trimestre do ano anterior - Percentual de pessoas contribuintes de instituto de previdência, na população de 14 anos ou mais de idade, ocupada na semana de referência",202503,3º trimestre 2025
