,NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N
0,Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil e Grande Região (Código),Brasil e Grande Região,Variável (Código),Variável,Trimestre (Código),Trimestre,Cor ou raça (Código),Cor ou raça
1,1,Brasil,1572,Mil pessoas,174411,1,Brasil,1641,Pessoas de 14 anos ou mais de idade,202503,3º trimestre 2025,95251,Total
2,1,Brasil,1572,Mil pessoas,74348,1,Brasil,1641,Pessoas de 14 anos ou mais de idade,202503,3º trimestre 2025,2776,Branca
3,1,Brasil,1572,Mil pessoas,19517,1,Brasil,1641,Pessoas de 14 anos ou mais de idade,202503,3º trimestre 2025,2777,Preta
4,1,Brasil,1572,Mil pessoas,78628,1,Brasil,1641,Pessoas de 14 anos ou mais de idade,202503,3º trimestre 2025,2779,Parda
5,1,Brasil,2,%,0.0,1,Brasil,4087,Coeficiente de variação - Pessoas de 14 anos ou mais de idade,202503,3º trimestre 2025,95251,Total
6,1,Brasil,2,%,0.5,1,Brasil,4087,Coeficiente de variação - Pessoas de 14 anos ou mais de idade,202503,3º trimestre 2025,2776,Branca
7,1,Brasil,2,%,1.0,1,Brasil,4087,Coeficiente de variação - Pessoas de 14 anos ou mais de idade,202503,3º trimestre 2025,2777,Preta
8,1,Brasil,2,%,0.4,1,Brasil,4087,Coeficiente de variação - Pessoas de 14 anos ou mais de idade,202503,3º trimestre 2025,2779,Parda
9,1,Brasil,2,%,100.0,1,Brasil,4104,Distribuição percentual das pessoas de 14 anos ou mais de idade,202503,3º trimestre 2025,95251,Total
10,1,Brasil,2,%,42.6,1,Brasil,4104,Distribuição percentual das pessoas de 14 anos ou mais de idade,202503,3º trimestre 2025,2776,Branca
11,1,Brasil,2,%,11.2,1,Brasil,4104,Distribuição percentual das pessoas de 14 anos ou mais de idade,202503,3º trimestre 2025,2777,Preta
12,1,Brasil,2,%,45.1,1,Brasil,4104,Distribuição percentual das pessoas de 14 anos ou mais de idade,202503,3º trimestre 2025,2779,Parda
13,1,Brasil,2,%,-,1,Brasil,4105,Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade,202503,3º trimestre 2025,95251,Total
14,1,Brasil,2,%,0.5,1,Brasil,4105,Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade,202503,3º trimestre 2025,2776,Branca
15,1,Brasil,2,%,1.0,1,Brasil,4105,Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade,202503,3º trimestre 2025,2777,Preta
16,1,Brasil,2,%,0.4,1,Brasil,4105,Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade,202503,3º trimestre 2025,2779,Parda
17,1,Brasil,1572,Mil pessoas,108478,1,Brasil,4088,"Pessoas de 14 anos ou mais de idade, na força de trabalho, na semana de referência",202503,3º trimestre 2025,95251,Total
18,1,Brasil,1572,Mil pessoas,46480,1,Brasil,4088,"Pessoas de 14 anos ou mais de idade, na força de trabalho, na semana de referência",202503,3º trimestre 2025,2776,Branca
